Elo,Moves
1733,40
1741,20
1749,20
1740,77
1748,58
1756,44
1763,43
1754,56
1746,54
1754,28
1754,62
1762,27
1755,20
1748,31
1740,41
1731,74
1739,78
1730,41
1739,60
1748,19
1749,70
1757,33
1758,46
1750,64
1744,28
1744,40
1738,29
1748,56
1757,32
1766,39
1758,53
1752,35
1760,46
1752,34
1744,52
1736,52
1744,25
1752,50
1744,26
1735,24
1729,43
1737,24
1745,45
1752,14
1759,33
1751,53
1760,24
1753,17
1762,23
1869,24
1862,13
1869,52
1860,55
1859,50
1852,38
1858,31
1865,44
1865,69
1857,27
1851,38
1842,43
1851,38
1859,34
1848,35
1839,37
1846,35
1835,38
1841,26
1847,34
1857,29
1865,26
1856,38
1852,39
1845,45
1854,27
1862,25
1869,15
1877,35
1869,26
1877,15
1885,17
1876,28
1882,38
1872,23
1864,36
1856,34
1863,46
1859,50
1850,41
1858,36
1847,36
1853,26
1861,21
1850,47
1858,23
1866,46
1855,45
1846,32
1787,60
1778,42
1772,35
1781,41
1790,36
1782,35
1775,27
1782,34
1776,55
1768,28
1777,27
1767,36
1759,23
1765,33
1772,23
1766,60
1757,38
1764,60
1770,28
1761,46
1769,28
1777,33
1768,44
1759,49
1751,20
1761,27
1767,59
1773,46
1781,37
1766,55
1767,23
1768,24
1769,46
1770,26
1771,23
1756,50
1758,28
1760,38
1746,30
1748,23
1750,36
1736,60
1744,21
1736,37
1745,64
1753,30
1761,35
1752,22
1744,28
1265,24
1272,52
1281,33
1289,32
1279,28
1285,26
1276,28
1269,21
1258,34
1250,16
1259,25
1268,27
1260,34
1268,37
1276,43
1283,24
1292,42
1300,37
1292,39
1282,15
1273,15
1265,28
1270,49
1275,25
1283,22
1291,31
1283,27
1275,17
1268,31
1261,31
1271,22
1280,23
1272,22
1279,35
1285,15
1277,34
1270,28
1256,24
1274,44
1261,23
1245,16
1266,41
1284,27
1266,34
1284,21
1269,39
1248,30
1268,43
1292,29
1777,28
1770,57
1779,30
1771,25
1779,58
1771,47
1779,31
1772,49
1763,15
1755,33
1747,29
1755,35
1764,40
1773,49
1763,16
1753,20
1744,38
1752,27
1751,44
1758,36
1765,18
1774,27
1774,45
1781,25
1773,25
1781,79
1772,45
1778,14
1770,42
1762,42
1770,48
1762,44
1770,27
1761,36
1761,53
1769,51
1760,20
1752,34
1760,40
1751,28
1743,21
1735,30
1743,37
1751,17
1759,27
1752,54
1745,36
1738,20
1732,38
1360,44
1367,26
1375,28
1382,50
1390,48
1398,23
1390,18
1398,28
1390,58
1383,20
1383,59
1375,51
1382,24
1374,47
1380,45
1372,33
1364,5
1355,32
1346,14
1354,50
1361,35
1369,23
1377,23
1384,23
1392,50
1392,64
1384,14
1392,22
1400,19
1408,45
1401,30
1408,42
1415,22
1424,33
1416,63
1424,63
1416,52
1408,36
1416,43
1423,39
1431,10
1439,32
1447,24
1445,21
1436,28
1427,54
1418,35
