index,date,Python,C++,C,Java,CUDA,MPI,MIPS Assembly,JavaScript,Prolog,Scheme,Haskell,C#,Kotlin,Salsa,SQL
0,08/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,09/01/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,09/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,09/03/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,09/04/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,09/05/20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,09/06/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,09/07/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,09/08/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,09/09/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,09/10/20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,09/11/20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,09/12/20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,09/13/20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,09/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,09/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,09/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,09/17/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,09/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,09/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,09/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,09/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,09/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,09/23/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,09/24/20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,09/25/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,09/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,09/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,09/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,09/29/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,09/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,10/01/20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10/04/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10/05/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,10/06/20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,10/07/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,10/08/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,10/09/20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10/11/20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10/14/20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
